36.8,49.2,71.2,146.8,218.0,2.78,0.38,1.24,44,58,78,156,234,3.38,0.42,1.46,34,38,68,134,204,2.2,0.34,1.06,1
38.4,47.6,78.8,172.8,251.6,2.38,0.35,1.05,50,56,104,220,296,3.08,0.4,1.28,32,38,70,156,228,0.9,0.25,0.6,1
37.2,52.0,81.2,157.2,238.4,2.47,0.4,1.09,54,68,124,166,290,2.81,0.48,1.25,32,44,66,152,222,2.33,0.34,1.02,1
33.6,47.6,74.4,159.6,234.0,2.63,0.38,1.15,36,58,82,168,244,2.96,0.43,1.25,30,40,68,148,222,2.46,0.33,1.08,1
35.2,48.8,76.8,156.0,232.8,2.65,0.39,1.12,42,58,88,162,250,2.89,0.43,1.23,32,40,70,150,224,2.42,0.35,1.01,1
37.2,46.0,77.2,147.6,224.8,2.62,0.38,1.14,40,50,88,156,236,2.98,0.4,1.21,36,42,68,140,208,2.19,0.36,1.04,1
34.0,230.0,331.2,278.0,609.2,1.21,0.79,1.34,42,326,514,366,880,2.61,0.91,3.42,30,34,66,144,210,0.19,0.33,0.4,1
33.2,161.2,220.0,244.8,464.8,1.78,0.57,1.04,38,418,512,444,956,3.24,0.94,1.35,28,28,64,152,216,0.36,0.28,0.72,1
34.8,46.8,70.0,160.8,230.8,2.51,0.36,1.08,44,58,72,174,244,2.85,0.42,1.3,30,38,68,150,220,1.88,0.27,0.9,1
38.0,44.4,73.6,146.0,219.6,2.57,0.36,1.18,44,48,80,154,232,3.01,0.39,1.33,34,40,64,134,212,2.32,0.34,1.02,1
37.2,46.0,78.8,144.0,222.8,2.55,0.39,1.21,48,56,94,168,250,2.84,0.45,1.34,34,26,68,120,188,2.33,0.32,1.14,1
35.6,48.8,80.4,156.4,236.8,2.47,0.39,1.15,40,76,108,168,276,2.76,0.54,1.26,34,38,66,144,212,2.2,0.33,1.08,1
34.4,42.4,76.4,156.4,232.8,2.56,0.36,1.13,38,46,82,162,236,2.76,0.39,1.19,32,38,72,152,224,2.42,0.35,1.06,1
33.6,45.2,69.2,138.8,208.0,2.53,0.39,1.19,36,50,74,152,222,2.7,0.41,1.26,30,38,60,126,186,2.2,0.37,1.11,1
36.8,52.4,79.6,160.4,240.0,2.76,0.4,1.15,40,56,84,168,246,3.0,0.41,1.19,34,48,74,152,234,2.38,0.39,1.09,1
34.0,57.6,77.6,163.6,241.2,2.87,0.42,1.13,44,70,92,172,264,3.1,0.45,1.15,28,44,70,154,226,2.66,0.36,1.1,1
34.8,57.2,74.8,159.6,234.4,2.83,0.41,1.15,36,66,80,164,242,3.09,0.45,1.18,32,50,70,154,228,2.73,0.39,1.09,1
38.0,102.0,164.4,178.4,342.8,1.72,0.58,1.05,42,200,318,230,548,2.82,0.88,1.22,36,46,76,140,216,0.36,0.37,0.87,1
34.4,44.4,72.0,150.8,222.8,2.67,0.37,1.18,38,54,76,158,234,2.77,0.42,1.27,32,38,64,146,212,2.61,0.33,1.11,1
36.0,49.2,76.8,154.4,231.2,2.66,0.39,1.13,44,58,86,160,242,2.79,0.42,1.2,32,40,68,150,224,2.58,0.36,1.09,1
37.2,182.8,227.2,272.4,499.6,2.19,0.5,1.11,42,712,836,744,1580,2.71,0.95,1.2,32,42,70,148,220,0.35,0.37,0.93,1
33.6,49.2,72.4,153.6,226.0,2.8,0.39,1.13,36,56,74,156,230,3.14,0.41,1.19,32,44,70,150,222,2.56,0.37,1.1,1
33.6,54.8,75.6,158.8,234.4,2.78,0.41,1.12,38,72,86,166,252,3.1,0.5,1.15,32,44,68,152,222,2.61,0.36,1.08,1
34.8,51.2,75.6,154.4,230.0,2.74,0.4,1.14,38,66,80,160,238,2.94,0.45,1.17,32,34,70,140,216,2.41,0.32,1.1,1
38.4,54.8,79.6,156.8,236.4,2.64,0.41,1.18,44,62,86,166,252,2.98,0.44,1.23,32,46,72,148,230,2.1,0.37,1.12,1
35.2,54.4,77.2,160.4,237.6,2.9,0.41,1.13,40,62,82,172,254,3.16,0.44,1.17,32,48,68,152,226,2.65,0.36,1.1,1
32.8,55.2,72.4,145.6,218.0,2.74,0.43,1.15,36,64,76,156,228,3.1,0.47,1.38,30,46,66,134,210,2.42,0.41,1.04,1
33.6,54.0,78.8,162.8,241.6,2.87,0.41,1.14,38,60,84,172,252,3.1,0.43,1.28,32,48,76,156,232,2.34,0.4,0.99,1
34.8,62.0,81.6,170.0,251.6,2.95,0.43,1.14,38,72,86,184,264,3.27,0.45,1.25,32,54,74,164,238,2.47,0.41,1.07,1
30.8,54.4,75.2,165.2,240.4,3.07,0.41,1.14,34,62,82,176,250,3.26,0.45,1.24,28,46,72,154,226,2.74,0.38,1.09,1
32.8,58.0,75.2,170.0,245.2,3.08,0.41,1.19,40,62,84,176,256,3.34,0.43,1.22,28,54,66,164,230,2.8,0.4,1.16,1
32.8,56.4,76.4,170.0,246.4,2.93,0.41,1.13,38,62,84,180,258,3.45,0.42,1.19,30,52,72,164,240,2.71,0.38,1.07,1
42.0,195.2,274.0,257.6,531.6,1.36,0.69,1.0,56,530,638,562,1200,2.96,0.93,1.15,34,52,78,150,228,0.35,0.39,0.87,1
48.8,50.4,92.4,159.2,251.6,2.64,0.37,1.15,98,66,152,168,320,2.98,0.41,1.26,30,42,70,152,222,2.22,0.35,1.07,1
36.0,52.4,77.6,155.6,233.2,2.77,0.4,1.16,38,60,90,166,256,3.0,0.44,1.18,34,48,70,148,220,2.69,0.38,1.15,1
37.2,59.6,81.6,162.4,244.0,2.84,0.42,1.15,60,74,118,176,294,3.27,0.45,1.22,28,48,72,150,222,2.33,0.39,1.04,1
40.4,58.0,85.6,165.2,250.8,2.9,0.41,1.17,76,64,140,188,328,3.07,0.44,1.22,30,52,62,152,214,2.65,0.39,1.11,1
38.8,87.6,122.4,167.2,289.6,2.04,0.53,1.08,54,176,292,208,500,3.16,0.83,1.21,30,48,68,148,216,0.43,0.38,0.91,1
35.2,53.2,79.2,163.6,242.8,2.8,0.4,1.15,44,56,94,180,260,3.1,0.41,1.26,32,50,74,150,224,2.45,0.39,1.08,1
34.8,58.8,77.6,166.4,244.0,2.99,0.42,1.16,38,70,78,184,262,3.38,0.47,1.26,32,52,76,156,234,2.73,0.39,1.08,1
53.2,49.6,100.4,162.0,262.4,2.6,0.36,1.51,78,76,124,190,294,2.85,0.51,1.76,40,30,76,130,218,2.29,0.26,1.35,10
45.2,52.4,100.4,168.8,269.2,2.82,0.4,1.41,50,74,122,182,288,3.13,0.46,1.54,42,34,92,160,256,2.52,0.32,1.28,10
42.0,60.4,96.0,183.6,279.6,3.39,0.41,1.44,52,102,100,210,310,4.1,0.52,1.68,36,38,94,150,244,2.69,0.36,1.3,10
38.0,59.6,84.0,174.0,258.0,3.4,0.4,1.38,44,92,92,202,294,3.91,0.5,1.53,36,34,72,140,212,2.78,0.29,1.32,10
44.4,51.2,89.2,166.0,255.2,3.2,0.38,1.49,50,70,100,184,284,3.41,0.43,1.59,40,34,76,138,214,2.98,0.32,1.43,10
40.8,51.2,101.6,168.8,270.4,3.04,0.41,1.55,50,58,114,188,292,3.43,0.44,1.72,34,46,86,160,252,2.84,0.37,1.4,10
40.0,66.4,86.8,175.2,262.0,3.49,0.42,1.56,42,114,104,220,324,3.79,0.56,1.73,38,42,78,154,234,3.26,0.33,1.42,10
41.2,40.0,70.0,141.2,211.2,2.49,0.32,1.28,44,76,78,168,246,3.21,0.45,1.49,38,26,62,128,200,2.11,0.25,1.17,10
37.6,49.2,76.0,162.4,238.4,2.86,0.36,1.23,40,66,82,176,254,2.93,0.43,1.33,36,30,66,140,206,2.64,0.27,1.13,10
40.0,46.0,71.6,143.2,214.8,2.54,0.36,1.31,44,64,80,166,246,2.88,0.43,1.46,34,26,60,120,180,2.16,0.29,1.16,10
38.8,32.8,68.8,136.8,205.6,2.55,0.31,1.29,44,44,70,146,216,3.0,0.41,1.51,32,28,66,128,198,2.28,0.25,1.19,10
41.2,45.6,72.4,152.4,224.8,2.64,0.34,1.25,44,64,86,176,262,3.26,0.41,1.34,38,30,66,132,200,2.12,0.28,1.18,10
42.0,40.8,70.0,149.6,219.6,2.97,0.31,1.28,46,62,78,160,234,3.74,0.4,1.44,38,30,62,134,198,2.47,0.27,1.15,10
40.8,39.6,73.6,154.4,228.0,2.85,0.32,1.27,44,50,82,176,258,2.99,0.35,1.42,34,34,62,132,206,2.66,0.28,1.19,10
