A_pos_peak_time,MAX_pos_peak_time,MIN_pos_peak_time,A_neg_peak_time,MAX_neg_peak_time,MIN_neg_peak_time,A_close time,MAX_close time,MIN_close time,A_open time,MAX_open time,MIN_open time,A_blink time,MAX_blink time,MIN_blink time,A_peak ratio,MAX_peak ratio,MIN_peak ratio,A_peak dist ratio,MAX_peak dist ratio,MIN_peak dist ratio,A_area ratio,MAX_area ratio,MIN_area ratio,Label
30.8,54.4,75.2,165.2,240.4,3.07,0.41,1.14,34.0,62.0,82.0,176.0,250.0,3.26,0.45,1.24,28.0,46.0,72.0,154.0,226.0,2.74,0.38,1.09,0.0
32.8,58.0,75.2,170.0,245.2,3.08,0.41,1.19,40.0,62.0,84.0,176.0,256.0,3.34,0.43,1.22,28.0,54.0,66.0,164.0,230.0,2.8,0.4,1.16,0.0
32.8,56.4,76.4,170.0,246.4,2.93,0.41,1.13,38.0,62.0,84.0,180.0,258.0,3.45,0.42,1.19,30.0,52.0,72.0,164.0,240.0,2.71,0.38,1.07,0.0
42.0,195.2,274.0,257.6,531.6,1.36,0.69,1.0,56.0,530.0,638.0,562.0,1200.0,2.96,0.93,1.15,34.0,52.0,78.0,150.0,228.0,0.35,0.39,0.87,0.0
48.8,50.4,92.4,159.2,251.6,2.64,0.37,1.15,98.0,66.0,152.0,168.0,320.0,2.98,0.41,1.26,30.0,42.0,70.0,152.0,222.0,2.22,0.35,1.07,0.0
36.0,52.4,77.6,155.6,233.2,2.77,0.4,1.16,38.0,60.0,90.0,166.0,256.0,3.0,0.44,1.18,34.0,48.0,70.0,148.0,220.0,2.69,0.38,1.15,0.0
37.2,59.6,81.6,162.4,244.0,2.84,0.42,1.15,60.0,74.0,118.0,176.0,294.0,3.27,0.45,1.22,28.0,48.0,72.0,150.0,222.0,2.33,0.39,1.04,0.0
40.4,58.0,85.6,165.2,250.8,2.9,0.41,1.17,76.0,64.0,140.0,188.0,328.0,3.07,0.44,1.22,30.0,52.0,62.0,152.0,214.0,2.65,0.39,1.11,0.0
38.8,87.6,122.4,167.2,289.6,2.04,0.53,1.08,54.0,176.0,292.0,208.0,500.0,3.16,0.83,1.21,30.0,48.0,68.0,148.0,216.0,0.43,0.38,0.91,0.0
35.2,53.2,79.2,163.6,242.8,2.8,0.4,1.15,44.0,56.0,94.0,180.0,260.0,3.1,0.41,1.26,32.0,50.0,74.0,150.0,224.0,2.45,0.39,1.08,0.0
34.8,58.8,77.6,166.4,244.0,2.99,0.42,1.16,38.0,70.0,78.0,184.0,262.0,3.38,0.47,1.26,32.0,52.0,76.0,156.0,234.0,2.73,0.39,1.08,0.0
53.2,49.6,100.4,162.0,262.4,2.6,0.36,1.51,78.0,76.0,124.0,190.0,294.0,2.85,0.51,1.76,40.0,30.0,76.0,130.0,218.0,2.29,0.26,1.35,9.0
45.2,52.4,100.4,168.8,269.2,2.82,0.4,1.41,50.0,74.0,122.0,182.0,288.0,3.13,0.46,1.54,42.0,34.0,92.0,160.0,256.0,2.52,0.32,1.28,9.0
42.0,60.4,96.0,183.6,279.6,3.39,0.41,1.44,52.0,102.0,100.0,210.0,310.0,4.1,0.52,1.68,36.0,38.0,94.0,150.0,244.0,2.69,0.36,1.3,9.0
38.0,59.6,84.0,174.0,258.0,3.4,0.4,1.38,44.0,92.0,92.0,202.0,294.0,3.91,0.5,1.53,36.0,34.0,72.0,140.0,212.0,2.78,0.29,1.32,9.0
44.4,51.2,89.2,166.0,255.2,3.2,0.38,1.49,50.0,70.0,100.0,184.0,284.0,3.41,0.43,1.59,40.0,34.0,76.0,138.0,214.0,2.98,0.32,1.43,9.0
40.8,51.2,101.6,168.8,270.4,3.04,0.41,1.55,50.0,58.0,114.0,188.0,292.0,3.43,0.44,1.72,34.0,46.0,86.0,160.0,252.0,2.84,0.37,1.4,9.0
40.0,66.4,86.8,175.2,262.0,3.49,0.42,1.56,42.0,114.0,104.0,220.0,324.0,3.79,0.56,1.73,38.0,42.0,78.0,154.0,234.0,3.26,0.33,1.42,9.0
41.2,40.0,70.0,141.2,211.2,2.49,0.32,1.28,44.0,76.0,78.0,168.0,246.0,3.21,0.45,1.49,38.0,26.0,62.0,128.0,200.0,2.11,0.25,1.17,9.0
37.6,49.2,76.0,162.4,238.4,2.86,0.36,1.23,40.0,66.0,82.0,176.0,254.0,2.93,0.43,1.33,36.0,30.0,66.0,140.0,206.0,2.64,0.27,1.13,9.0
