43.2,43.6,84.0,114.8,198.8,2.12,0.42,1.64,58,60,110,146,230,2.44,0.53,1.85,32,36,70,86,172,1.85,0.37,1.42,yxd
42.0,48.4,85.2,139.2,224.4,2.54,0.41,1.72,56,68,116,186,302,3.04,0.49,2.09,30,40,68,110,178,2.09,0.36,1.45,yxd
50.4,40.8,84.4,130.8,215.2,2.38,0.34,1.69,56,50,110,150,260,2.8,0.4,1.84,44,30,72,114,186,2.07,0.29,1.55,yxd
40.4,38.4,79.2,128.8,208.0,2.3,0.37,1.62,46,44,84,136,220,2.99,0.42,1.94,34,36,72,118,190,1.81,0.33,1.43,yxd
45.6,41.6,82.8,134.0,216.8,2.54,0.37,1.67,62,48,90,158,248,2.97,0.43,2.04,38,34,74,112,190,2.21,0.27,1.49,yxd
42.4,42.8,84.0,138.0,222.0,2.51,0.38,1.66,50,52,94,148,242,2.89,0.42,1.73,32,36,76,130,208,2.11,0.34,1.61,yxd
39.2,40.0,77.6,122.4,200.0,2.67,0.4,1.8,42,48,88,138,218,3.49,0.45,2.21,32,30,60,106,166,1.93,0.36,1.53,yxd
42.0,44.8,85.2,139.6,224.8,2.46,0.39,1.58,48,56,92,152,242,3.01,0.44,1.75,38,34,74,128,216,2.04,0.35,1.4,yxd
40.0,44.0,76.4,132.8,209.2,2.68,0.38,1.69,46,50,80,142,222,3.18,0.41,1.88,34,40,70,116,186,2.24,0.36,1.51,yxd
41.2,38.4,73.2,118.0,191.2,2.49,0.37,1.65,50,52,78,126,204,3.03,0.46,1.83,34,32,68,106,174,2.0,0.3,1.46,yxd
40.4,42.8,77.6,128.8,206.4,2.85,0.39,1.93,48,46,92,138,230,3.71,0.42,2.27,34,38,64,116,180,2.22,0.35,1.75,yxd
41.2,40.8,84.0,123.2,207.2,2.79,0.41,2.02,50,54,92,140,230,3.42,0.48,2.75,36,34,68,92,160,2.57,0.34,1.78,yxd
40.4,39.2,76.8,125.6,202.4,2.8,0.38,1.92,48,44,96,154,250,3.78,0.41,2.33,36,34,68,100,168,2.46,0.35,1.77,yxd
42.4,38.8,79.6,119.2,198.8,2.56,0.38,1.79,50,42,86,132,206,3.35,0.45,2.17,34,34,74,110,184,2.04,0.34,1.55,yxd
44.4,40.0,80.0,123.6,203.6,2.76,0.37,1.83,56,50,86,132,210,3.32,0.41,2.0,38,30,72,116,196,2.36,0.28,1.59,yxd
41.2,39.2,74.0,115.6,189.6,2.84,0.38,1.92,46,54,94,136,230,3.22,0.49,2.12,38,30,60,90,150,2.35,0.31,1.76,yxd
40.0,37.6,78.4,120.0,198.4,2.66,0.39,1.86,46,48,84,134,218,3.2,0.44,2.04,34,28,70,94,164,2.42,0.32,1.73,yxd
36.8,37.6,74.4,113.6,188.0,2.74,0.4,1.94,44,48,88,132,220,3.09,0.45,2.17,30,32,66,96,166,2.47,0.35,1.85,yxd
34.8,42.4,76.4,107.6,184.0,2.54,0.46,2.0,40,48,82,122,196,2.85,0.53,2.25,32,36,70,94,166,2.17,0.39,1.76,yxd
42.8,44.0,79.2,122.8,202.0,2.63,0.4,1.92,50,52,90,136,218,2.95,0.44,2.18,36,38,66,100,166,2.25,0.37,1.71,yxd
42.8,44.8,82.4,137.2,219.6,2.47,0.38,1.61,50,52,88,150,238,2.86,0.44,1.8,38,40,76,122,204,2.21,0.32,1.38,yxd
38.4,42.4,68.4,122.4,190.8,2.86,0.38,1.68,42,48,82,138,218,3.41,0.43,1.91,32,36,60,104,164,2.18,0.35,1.51,yxd
41.6,41.6,79.6,133.6,213.2,2.68,0.37,1.8,46,48,88,144,226,3.32,0.42,2.37,38,38,72,124,200,2.16,0.33,1.53,yxd
43.2,39.6,80.4,134.4,214.8,2.72,0.36,1.7,48,42,90,142,224,2.86,0.41,1.81,34,36,66,130,196,2.53,0.33,1.6,yxd
38.8,42.0,80.4,140.8,221.2,2.85,0.38,1.74,42,46,84,146,224,3.32,0.4,1.99,36,38,76,136,218,2.52,0.32,1.54,yxd
41.6,41.6,78.0,134.0,212.0,2.74,0.37,1.62,48,46,88,148,236,3.1,0.39,1.74,38,36,68,120,190,2.25,0.32,1.54,yxd
40.4,43.6,79.6,144.4,224.0,2.59,0.37,1.52,44,52,88,164,250,3.32,0.41,1.9,38,38,72,124,196,2.07,0.33,1.36,yxd
41.6,40.4,81.2,145.6,226.8,2.69,0.35,1.61,44,48,92,168,260,3.35,0.4,1.94,36,32,72,130,204,2.12,0.3,1.47,yxd
42.8,46.0,77.2,130.8,208.0,2.86,0.39,1.78,48,56,82,148,224,3.11,0.44,1.96,38,32,72,116,194,2.44,0.32,1.66,yxd
